AGE,VersatilityRating,MatchupDifficulty,CraftedDPM,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,source,season
28,31.2,44.6,0.8 76%,Sam Merrill,CLE,SG,craftednba,2024-25
33,30.9,35.8,2.2 92%,Dwight Powell,DAL,C,craftednba,2024-25
28,30.7,52.2,-0.7 22%,Malik Beasley,DET,SG,craftednba,2024-25
29,30.5,26.3,0.9 77%,Jock Landale,HOU,C,craftednba,2024-25
36,30.3,39.9,-0.4 37%,Patty Mills,LAC,PG,craftednba,2024-25
30,30.0,74.0,1.9 91%,Fred VanVleet,HOU,PG,craftednba,2024-25
24,29.8,58.2,0.8 73%,Miles McBride,NYK,PG,craftednba,2024-25
32,29.6,45.8,1.2 82%,Larry Nance Jr.,ATL,C,craftednba,2024-25
23,29.4,50.0,0.6 71%,Moussa Diabaté,CHA,C,craftednba,2024-25
25,29.1,42.8,-1.4 11%,Tyler Herro,MIA,SG,craftednba,2024-25
24,28.7,49.4,0.4 66%,Cole Anthony,ORL,PG,craftednba,2024-25
34,28.5,40.5,-0.6 29%,Seth Curry,CHA,SG,craftednba,2024-25
26,28.3,66.7,1 72%,Jose Alvarado,NOP,PG,craftednba,2024-25
25,28.0,56.9,-0.9 16%,Darius Garland,CLE,PG,craftednba,2024-25
